time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;0
504;120;-120;0;0
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-120;0;0
819;120;-120;0;0
882;120;-120;0;0
945;120;-120;0;0
1008;120;-120;0;0
1071;120;-120;0;0
1134;120;-120;0;0
1197;120;-120;0;0
1260;120;-120;0;0
1323;120;-120;0;0
1386;120;-120;0;0
1449;120;-120;0;0
1512;120;-120;0;0
1575;120;-120;0;0
1638;120;-120;0;0
1701;120;-120;0;0
1764;120;-120;0;0
1827;120;-120;0;0
1890;120;-120;0;0
1953;120;-120;0;0
2016;120;-120;0;0
2079;120;-120;0;0
2142;120;-120;0;0
2205;120;-120;0;0
2268;120;-120;0;0
2331;120;-120;0;0
2394;120;-120;0;0
2457;120;-120;0;0
2520;120;-120;0;0
2583;120;-120;0;0
2646;120;-120;0;0
2709;120;-120;0;0
2772;120;-120;0;0
2835;120;-120;0;0
2898;120;-120;0;0
2961;120;-120;0;0
3024;120;-120;0;0
3087;120;-120;0;0
3150;120;-120;0;0
3213;120;-120;0;0
3276;120;-120;0;0
3339;120;-120;0;0
3402;120;-120;0;0
3465;120;-120;0;0
3528;120;-120;0;0
3591;120;-120;0;0
3654;120;-120;0;0
3717;120;-120;0;0
3780;120;-120;0;0
3843;120;-120;0;0
3906;120;-120;0;0
3969;120;-120;0;0
4032;120;-120;0;0
4095;120;-120;0;0
4158;120;-120;0;0
4221;120;-120;0;0
4284;120;-120;0;0
4347;120;-120;0;0
4410;120;-120;0;0
4473;120;-120;0;0
4536;120;-120;0;0
4599;120;-120;0;0
4662;120;-120;0;0
4725;120;-120;0;0
4788;120;-120;0;0
4851;120;-120;0;0
4914;120;-120;0;0
4977;120;-120;0;0
5040;120;-120;0;0
5103;120;-120;0;0
5166;120;-120;0;0
5229;120;-120;0;0
5292;120;-120;0;0
5355;120;-120;0;0
5418;120;-120;0;0
5481;120;-120;0;0
5544;120;-120;0;0
5607;120;-120;0;0
5670;120;-120;0;0
5733;120;-120;0;0
5796;120;-120;0;0
5859;120;-120;0;0
5922;120;-120;0;0
5985;120;-120;0;0
6048;120;-120;0;0
6111;120;-120;0;0
6174;120;-120;0;0
6237;120;-120;0;0
6300;120;-120;0;0
6363;120;-120;0;53
6426;120;-120;0;53
6489;120;-120;0;53
6552;120;-120;0;53
6615;120;-120;0;53
6678;120;-120;0;53
6741;120;-120;0;79
6804;120;-120;0;79
6867;120;-120;0;79
6930;120;-120;0;79
6993;120;-118;0;143
7056;120;-116;0;143
7119;120;-114;0;143
7182;120;-112;0;143
7245;120;-108;0;143
7308;120;-106;0;143
7371;120;-104;0;170
7434;120;-101;0;170
7497;120;-96;0;170
7560;120;-94;0;170
7623;120;-91;0;170
7686;120;-88;0;248
7749;120;-79;0;248
7812;120;-74;0;248
7875;120;-69;0;248
7938;120;-64;0;248
8001;120;-55;0;267
8064;120;-50;0;267
8127;120;-45;0;267
8190;120;-41;0;267
8253;120;-31;0;314
8316;120;-28;0;314
8379;120;-24;0;314
8442;120;-20;0;314
8505;120;-13;0;314
8568;120;-9;0;322
8631;120;-6;0;322
8694;120;-2;0;322
8757;120;4;0;322
8820;120;8;0;322
8883;120;11;0;322
8946;120;15;0;311
9009;120;22;0;311
9072;120;26;0;311
9135;120;30;0;311
9198;120;33;0;311
9261;120;43;0;274
9324;120;47;0;274
9387;120;52;0;274
9450;120;57;0;274
9513;120;66;0;278
9576;120;71;0;278
9639;120;76;0;278
9702;120;80;0;278
9765;120;90;0;278
9828;120;95;0;243
9891;120;99;0;243
9954;120;104;0;243
10017;120;113;0;243
10080;120;118;0;243
10143;120;121;0;0
10206;120;121;0;0
10269;120;121;0;0
10332;120;121;0;0
10395;120;121;0;0
10458;120;121;0;0
10521;120;121;0;0
10584;120;121;0;0
10647;120;121;0;0
10710;120;121;0;0
10773;120;121;0;31
10836;120;121;0;31
10899;120;121;0;31
10962;120;121;0;31
11025;120;121;0;31
11088;120;121;0;110
11151;120;121;-28;110
11214;120;121;-28;110
11277;120;121;-28;110
11340;120;121;-28;110
11403;120;123;-28;141
11466;120;125;-71;141
11529;120;129;-71;141
11592;120;130;-71;141
11655;120;130;-71;141
11718;120;130;-71;0
11781;120;130;-60;0
11844;120;130;-60;0
11907;120;130;-60;0
11970;120;130;-60;0
12033;118;130;-221;33
12096;114;130;-221;33
12159;111;130;-221;33
12222;107;130;-221;33
12285;99;130;-221;0
12348;96;130;-144;-65
12411;94;130;-144;-65
12474;92;130;-144;-65
12537;88;130;-144;-65
12600;86;130;-144;-65
12663;85;130;-144;-65
12726;83;130;-144;-59
12789;79;130;-144;-59
12852;77;130;-144;-59
12915;75;130;-144;-59
12978;73;130;-214;-59
13041;65;130;-214;-105
13104;62;130;-214;-105
13167;58;130;-214;-105
13230;54;130;-214;-105
13293;48;130;-146;-105
13356;46;127;-146;-170
13419;44;125;-146;-170
13482;42;122;-146;-170
13545;38;117;-146;-170
13608;36;115;-191;-170
13671;33;114;-191;-99
13734;30;114;-191;-99
13797;24;114;-191;-99
13860;21;114;-191;-99
13923;19;114;-189;-99
13986;16;113;-189;-131
14049;10;110;-189;-131
14112;7;108;-189;-131
14175;4;106;-189;-131
14238;1;105;-245;-131
14301;-5;104;-245;-77
14364;-9;104;-245;-77
14427;-13;104;-245;-77
14490;-16;104;-245;-77
14553;-24;104;-235;-59
14616;-28;104;-235;-59
14679;-31;104;-235;-59
14742;-35;104;-235;-59
14805;-43;104;-244;-59
14868;-47;104;-244;0
14931;-50;104;-244;0
14994;-54;104;-244;0
15057;-62;104;-244;43
15120;-66;104;-227;43
15183;-69;104;-227;43
15246;-73;104;-227;43
15309;-81;104;-227;43
15372;-84;104;-227;43
15435;-88;104;-227;43
15498;-90;104;-158;100
15561;-95;104;-158;100
15624;-97;104;-158;100
15687;-100;104;-158;100
15750;-102;104;-158;100
15813;-106;107;-147;155
15876;-108;109;-147;155
15939;-110;111;-147;155
16002;-112;113;-147;155
16065;-115;117;-76;155
16128;-115;119;-76;82
16191;-115;119;-76;82
16254;-115;119;-76;82
16317;-115;119;-76;82
16380;-115;119;0;82
16443;-115;119;0;0
16506;-115;119;0;0
16569;-115;119;0;0
16632;-115;119;0;0
16695;-116;119;-228;0
16758;-120;119;-228;0
16821;-128;119;-228;-42
16884;-131;119;-228;-42
16947;-135;119;-228;-42
17010;-138;119;0;-42
17073;-138;119;0;-42
17136;-138;119;0;-121
17199;-138;117;0;-121
17262;-138;115;167;-121
17325;-134;112;167;-121
17388;-132;111;167;-121
17451;-129;109;167;-33
17514;-127;109;167;-33
17577;-124;109;0;-33
17640;-124;109;0;-33
17703;-124;109;0;-33
17766;-124;109;0;-33
17829;-124;109;0;-34
17892;-124;109;0;-34
17955;-124;109;0;-34
18018;-124;109;0;-34
18081;-124;109;0;0
18144;-124;109;0;0
18207;-124;109;0;0
18270;-124;109;0;0
18333;-124;109;0;0
18396;-124;108;0;-122
18459;-124;107;0;-122
18522;-124;105;0;-122
18585;-124;102;0;-122
18648;-124;100;0;-122
18711;-124;98;0;-213
18774;-124;94;0;-213
18837;-124;88;0;-213
18900;-124;84;-27;-213
18963;-124;81;-27;-213
19026;-124;78;-27;-214
19089;-124;71;-27;-214
19152;-124;68;-27;-214
19215;-124;64;0;-214
19278;-124;61;0;-214
19341;-124;58;0;-219
19404;-124;51;0;-219
19467;-124;48;0;-219
19530;-124;44;0;-219
19593;-124;38;0;-207
19656;-124;35;0;-207
19719;-124;31;0;-207
19782;-124;28;0;-207
19845;-124;21;0;-207
19908;-124;18;0;-207
19971;-124;15;0;-196
20034;-124;12;0;-196
20097;-124;5;0;-196
20160;-124;2;0;-196
20223;-124;-1;0;-196
20286;-124;-3;0;-178
20349;-124;-9;0;-178
20412;-124;-11;0;-178
20475;-124;-14;0;-178
20538;-124;-16;0;-178
20601;-124;-22;0;-191
20664;-124;-24;0;-191
20727;-124;-27;0;-191
20790;-124;-30;0;-191
20853;-124;-35;0;-182
20916;-124;-38;0;-182
20979;-124;-40;0;-182
21042;-124;-43;0;-182
21105;-124;-45;0;-182
21168;-124;-51;0;-172
21231;-124;-53;0;-172
21294;-124;-56;0;-172
21357;-124;-61;0;-172
21420;-124;-63;0;-172
21483;-124;-66;0;-166
21546;-124;-68;0;-166
21609;-124;-73;0;-166
21672;-124;-76;0;-166
21735;-124;-78;0;-166
21798;-124;-81;0;-154
21861;-124;-85;0;-154
21924;-124;-87;0;-154
21987;-124;-89;0;-154
22050;-124;-93;0;-154
22113;-124;-96;0;-162
22176;-124;-98;0;-162
22239;-124;-101;0;-162
22302;-124;-106;0;-162
22365;-124;-108;0;-162
22428;-124;-111;0;-165
22491;-124;-113;0;-165
22554;-124;-116;0;-165
22617;-124;-118;0;-165
22680;-124;-123;0;-165
22743;-124;-125;0;-42
22806;-124;-125;0;-42
22869;-123;-125;380;-42
22932;-119;-125;380;-42
22995;-115;-125;380;-42
23058;-108;-125;380;0
23121;-104;-125;380;0
23184;-101;-125;733;0
23247;-97;-125;733;0
23310;-93;-125;733;0
23373;-86;-125;733;-39
23436;-83;-125;733;-39
23499;-79;-125;607;-39
23562;-72;-125;607;-39
23625;-68;-125;607;-45
23688;-65;-125;607;-45
23751;-61;-125;607;-45
23814;-54;-125;464;-45
23877;-50;-125;464;-45
23940;-46;-125;464;-45
24003;-43;-125;464;-45
24066;-35;-125;464;-45
24129;-32;-125;421;-45
24192;-28;-125;421;-45
24255;-25;-125;421;-45
24318;-21;-125;421;-46
24381;-14;-125;421;-46
24444;-10;-125;359;-46
24507;-6;-125;359;-46
24570;0;-125;359;-48
24633;4;-125;359;-48
24696;7;-125;359;-48
24759;11;-125;329;-48
24822;18;-125;329;-48
24885;22;-125;329;-47
24948;26;-125;329;-47
25011;29;-125;329;-47
25074;33;-125;329;-47
25137;40;-125;320;-47
25200;44;-125;320;-46
25263;47;-125;320;-46
25326;55;-125;320;-46
25389;58;-125;348;-46
25452;62;-125;348;-46
25515;66;-125;348;-48
25578;69;-125;348;-48
25641;77;-125;348;-48
25704;80;-125;330;-48
25767;84;-125;330;-48
25830;87;-125;330;-45
25893;95;-125;330;-45
25956;98;-125;330;-45
26019;102;-125;280;-45
26082;107;-125;280;-45
26145;116;-125;280;-47
26208;121;-125;280;-47
26271;126;-125;280;-47
26334;131;-125;0;-47
26397;131;-125;0;-47
26460;131;-125;0;0
26523;131;-125;0;0
26586;131;-125;0;0
26649;131;-122;0;195
26712;131;-119;0;195
26775;131;-116;0;195
26838;131;-109;0;195
26901;131;-106;0;195
26964;131;-103;0;453
27027;131;-99;-35;453
27090;131;-95;-35;453
27153;131;-88;-35;453
27216;131;-84;-35;453
27279;131;-81;-35;409
27342;131;-77;-35;409
27405;131;-70;-54;409
27468;131;-66;-54;409
27531;131;-63;-54;409
27594;131;-59;-54;434
27657;131;-52;-54;434
27720;131;-48;-54;434
27783;131;-44;-54;434
27846;131;-37;-54;440
27909;131;-34;-54;440
27972;131;-30;-55;440
28035;131;-26;-55;440
28098;131;-23;-55;440
28161;131;-15;-55;383
28224;131;-12;-55;383
28287;131;-8;-44;383
28350;131;-1;-44;383
28413;131;2;-44;383
28476;131;6;-44;383
28539;131;9;-44;346
28602;131;16;-39;346
28665;131;20;-39;346
28728;131;24;-39;346
28791;131;28;-39;346
28854;131;35;-39;346
28917;131;38;-35;346
28980;131;42;-35;346
29043;131;50;-35;346
29106;131;53;-35;338
29169;131;60;-33;338
29232;131;60;-33;338
29295;131;64;-33;338
29358;131;71;-33;338
29421;131;75;-33;307
29484;131;82;-33;307
29547;131;82;-33;307
29610;131;90;-27;307
29673;131;93;-27;307
29736;131;97;-27;254
29799;131;107;-27;254
29862;131;111;0;254
29925;131;116;0;254
29988;131;121;0;254
30051;131;124;0;49
30114;131;124;0;49
30177;131;124;0;49
30240;131;124;0;49
30303;131;124;0;49
30366;131;126;0;151
30429;131;129;0;151
30492;131;130;0;151
30555;131;130;0;151
30618;131;130;0;151
30681;131;130;0;0
30744;131;130;0;0
30807;131;130;0;0
30870;131;130;0;0
30933;131;130;0;0
30996;131;130;0;0
31059;131;130;0;-60
31122;131;130;0;-60
31185;131;130;0;-60
31248;131;130;0;-60
31311;131;130;0;-60
31374;131;128;0;-150
31437;131;126;-47;-150
31500;131;122;-47;-150
31563;131;122;-47;-150
31626;131;118;-47;-150
31689;131;116;-47;-147
31752;131;114;-82;-147
31815;131;110;-82;-147
31878;131;108;-82;-147
31941;131;106;-82;-147
32004;131;104;-82;-102
32067;131;104;-82;-102
32130;126;104;-343;-102
32193;122;104;-343;-102
32256;118;104;-343;-102
32319;111;103;-343;-137
32382;107;101;-316;-137
32445;104;99;-316;-137
32508;100;97;-316;-137
32571;93;94;-316;-355
32634;88;89;-316;-355
32697;84;84;-274;-355
32760;80;81;-274;-355
32823;73;73;-274;-355
32886;69;70;-274;-355
32949;66;66;-274;-303
33012;62;63;-274;-303
33075;51;52;-278;-303
33138;46;47;-278;-303
33201;40;41;-278;-303
33264;35;36;-278;-257
33327;26;27;-242;-257
33390;22;23;-242;-257
33453;17;18;-242;-257
33516;13;14;-242;-257
33579;6;7;-242;-227
33642;2;3;-242;-227
33705;1;0;0;-227
33768;1;-6;58;-227
33831;1;-8;58;0
33894;1;-8;58;0
33957;1;-8;58;0
34020;1;-8;58;0
34083;1;-8;72;0
34146;1;-8;72;0
34209;1;-8;72;0
34272;1;-8;72;0
34335;1;-8;0;0
34398;1;-8;0;0
34461;1;-8;0;0
34524;1;-8;0;0
34587;1;-8;0;0
34650;1;-8;-89;0
34713;1;-8;-89;0
34776;1;-8;-89;0
34839;1;-10;-89;-160
34902;1;-13;-174;-160
34965;0;-15;-174;-160
35028;-3;-18;-174;-160
35091;-8;-23;-174;-160
35154;-10;-25;-174;-160
35217;-13;-28;-174;-188
35280;-15;-30;-178;-188
35343;-18;-33;-178;-188
35406;-23;-38;-178;-188
35469;-25;-40;-178;-188
35532;-30;-46;-186;-214
35595;-33;-49;-186;-214
35658;-35;-52;-186;-214
35721;-38;-56;-186;-214
35784;-43;-62;-186;-214
35847;-43;-62;-186;-214
35910;-51;-67;-314;-190
35973;-55;-70;-314;-190
36036;-64;-74;-314;-190
36099;-69;-76;-314;-190
36162;-73;-79;-285;-208
36225;-76;-82;-285;-208
36288;-80;-86;-285;-208
36351;-87;-92;-285;-208
36414;-90;-96;-285;-208
36477;-95;-102;-133;-238
36540;-97;-106;-133;-238
36603;-98;-109;-133;-238
36666;-100;-113;-133;-238
36729;-102;-116;-133;-238
36792;-103;-119;-133;-204
36855;-108;-126;-163;-204
36918;-110;-129;-163;-204
36981;-112;-130;-163;-204
37044;-115;-130;-163;-204
37107;-117;-130;-163;-95
37170;-120;-130;0;-95
37233;-120;-130;0;-95
37296;-120;-130;0;-95
37359;-120;-130;0;-95
37422;-120;-130;0;0
37485;-120;-130;0;0
37548;-120;-130;33;0
37611;-120;-130;33;0
37674;-120;-130;33;0
37737;-120;-130;33;0
37800;-120;-130;33;0
37863;-114;-130;228;0
37926;-111;-130;228;0
37989;-108;-130;228;0
38052;-104;-130;228;0
38115;-101;-130;228;0
38178;-99;-130;0;27
38241;-99;-130;0;27
38304;-99;-130;0;27
38367;-99;-130;0;27
38430;-98;-130;342;0
38493;-94;-130;342;0
38556;-87;-130;342;0
38619;-83;-130;342;0
38682;-79;-130;342;0
38745;-76;-130;442;0
38808;-72;-130;442;0
38871;-65;-130;442;0
38934;-61;-130;442;0
38997;-58;-130;442;0
39060;-54;-130;328;0
39123;-47;-130;328;0
